Taxonomy_ID	Species_Name	Common_Name	gprofiler_ID	KEGG
7029	Acyrthosiphon pisum	Acyrthosiphon pisum	apisum	api
7159	Aedes aegypti	Aedes aegypti (LVP_AGWG)	aalvpagwg	aag
9646	Ailuropoda melanoleuca	Giant panda	amelanoleuca	aml
13333	Amborella trichopoda	Amborella trichopoda	atrichopoda	atr
400682	Amphimedon queenslandica	Amphimedon queenslandica	aqueenslandica	aqu
28377	Anolis carolinensis	Anole lizard	acarolinensis	acs
43151	Anopheles darlingi	Anopheles darlingi	adarlingi	NAN
7165	Anopheles gambiae	Anopheles gambiae	agambiae	aga
7460	Apis mellifera	Apis mellifera (DH4)	amellifera	ame
3702	Arabidopsis thaliana	Arabidopsis thaliana	athaliana	ath
50452	Arabis alpina	Arabis alpina	aalpina	NAN
5061	Aspergillus niger	Aspergillus niger	aniger	ang
7994	Astyanax mexicanus	Mexican tetra	amexicanus	amex
12957	Atta cephalotes	Atta cephalotes	acephalotes	acep
176275	Beauveria bassiana	Beauveria bassiana	bbassiana	176275
132113	Bombus impatiens	Bombus impatiens	bimpatiens	bim
7091	Bombyx mori	Bombyx mori	bmori	bmor
72004	Bos mutus	Wild yak	bmutus	bom
9913	Bos taurus	Cow	btaurus	bta
15368	Brachypodium distachyon	Brachypodium distachyon	bdistachyon	bdi
3711	Brassica rapa	Brassica rapa	brapa	brp
6326	Bursaphelenchus xylophilus	Bursaphelenchus xylophilus (PRJEA64437)	buxyloprjea64437	NAN
135651	Caenorhabditis brenneri	Caenorhabditis brenneri	cbrenneri	NAN
135651	Caenorhabditis brenneri	Caenorhabditis brenneri (PRJNA20035) [WS276]	cabrenprjna20035	NAN
1561998	Caenorhabditis tropicalis	Caenorhabditis tropicalis (PRJNA53597)	catropprjna53597	NAN
281687	Caenorhabditis japonica	Caenorhabditis japonica (PRJNA12591) [WS276]	cajapoprjna12591	NAN
31234	Caenorhabditis remanei	Caenorhabditis remanei	cremanei	NAN
31234	Caenorhabditis remanei	Caenorhabditis remanei (PRJNA248909)	caremaprjna248909	NAN
31234	Caenorhabditis remanei	Caenorhabditis remanei (PRJNA248911)	caremaprjna248911	NAN
31234	Caenorhabditis remanei	Caenorhabditis remanei (PRJNA53967) [WS276]	caremaprjna53967	NAN
6238	Caenorhabditis briggsae	Caenorhabditis briggsae	cbriggsae	cbr
6238	Caenorhabditis briggsae	Caenorhabditis briggsae (PRJNA10731) [WS276]	cabrigprjna10731	cbr
6239	Caenorhabditis elegans	Caenorhabditis elegans	celegans	cel
6239	Caenorhabditis elegans	Caenorhabditis elegans (PRJNA13758) [WS276]	caelegprjna13758	cel
9483	Callithrix jacchus	Marmoset	cjacchus	cjc
90675	Camelina sativa	Camelina sativa	csativa	csat
10141	Cavia porcellus	Guinea Pig	cporcellus	10141
34839	Chinchilla lanigera	Long-tailed chinchilla	clanigera	NAN
3055	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii	creinhardtii	cre
60711	Chlorocebus sabaeus	Vervet-AGM	csabaeus	csab
51511	Ciona savignyi	C.savignyi	csavignyi	NAN
7719	Ciona intestinalis	C.intestinalis	cintestinalis	cin
85681	Citrus clementina	Citrus clementina	cclementina	cic
80884	Colletotrichum higginsianum	Colletotrichum higginsianum	chigginsianum	NAN
10029	Cricetulus griseus	Chinese hamster CHOK1GS	cgchok1gshd	cge
3656	Cucumis melo	Cucumis melo	cmelo	cmo
3659	Cucumis sativus	Cucumis sativus	csativus	36599
7176	Culex quinquefasciatus	Culex quinquefasciatus	cquinquefasciatus	cqu
244447	Cynoglossus semilaevis	Tongue sole	csemilaevis	csem
13037	Danaus plexippus	Danaus plexippus	dplexippus	dpl
7955	Danio rerio	Zebrafish	drerio	dre
6669	Daphnia pulex	Daphnia pulex	dpulex	dpx
9361	Dasypus novemcinctus	Armadillo	dnovemcinctus	NAN
7217	Drosophila ananassae	Drosophila ananassae (TSC#14024-0371.13)	dananassae	dan
7220	Drosophila erecta	Drosophila erecta (TSC#14021-0224.01)	derecta	der
7222	Drosophila grimshawi	Drosophila grimshawi (TSC#15287-2541.00)	dgrimshawi	dgr
7227	Drosophila melanogaster	Drosophila melanogaster	dmelanogaster	dme
7230	Drosophila mojavensis	Drosophila mojavensis (TSC#15081-1352.22)	dmojavensis	dmo
7234	Drosophila persimilis	Drosophila persimilis (MSH-3)	dpersimilis	dpe
7244	Drosophila virilis	Drosophila virilis (TSC#15010-1051.87)	dvirilis	dvi
7245	Drosophila yakuba	Drosophila yakuba (Tai18E2)	dyakuba	dya
7260	Drosophila willistoni	Drosophila willistoni (TSC#14030-0811.24)	dwillistoni	dwi
6211	Echinococcus multilocularis	Echinococcus multilocularis (PRJEB122)	ecmultprjeb122	NAN
9371	Echinops telfairi	Lesser hedgehog tenrec	etelfairi	NAN
9365	Erinaceus europaeus	Hedgehog	eeuropaeus	NAN
8010	Esox lucius	Northern pike	elucius	els
71139	Eucalyptus grandis	Eucalyptus grandis	egrandis	egr
72664	Eutrema salsugineum	Eutrema salsugineum	esalsugineum	eus
9685	Felis catus	Cat	fcatus	fca
59894	Ficedula albicollis	Flycatcher	falbicollis	fab
5127	Fusarium fujikuroi	Fusarium fujikuroi	ffujikuroi	5127
5518	Fusarium graminearum	Fusarium graminearum str. PH-1	fgraminearum	55188
8049	Gadus morhua	Atlantic cod	gmorhua	NAN
130081	Galdieria sulphuraria	Galdieria sulphuraria	gsulphuraria	gsl
9031	Gallus gallus	Chicken	ggallus	gga
69293	Gasterosteus aculeatus	Stickleback	gaculeatus	NAN
3847	Glycine max	Glycine max	gmax	gmx
29730	Gossypium raimondii	Gossypium raimondii	graimondii	gra
8153	Haplochromis burtoni	Burton's mouthbrooder	hburtoni	NAN
34740	Heliconius melpomene	Heliconius melpomene	hmelpomene	NAN
6412	Helobdella robusta	Helobdella robusta	hrobusta	hro
10181	Heterocephalus glaber	Naked mole-rat female	hgfemale	hgl
9606	Homo sapiens	Human	hsapiens	hsa
43179	Ictidomys tridecemlineatus	Squirrel	itridecemlineatus	NAN
51337	Jaculus jaculus	Lesser Egyptian jerboa	jjaculus	NAN
215358	Larimichthys crocea	Large yellow croaker	lcrocea	lco
7897	Latimeria chalumnae	Coelacanth	lchalumnae	lcm
77586	Leersia perrieri	Leersia perrieri	lperrieri	NAN
7918	Lepisosteus oculatus	Spotted gar	loculatus	NAN
7209	Loa loa	Loa loa	lloa	loa
