taxid	scientific_name	kegg
1001585	Pseudomonas mendocina NK-01	pmk
10020	Dipodomys ordii	dord
1002672	Candidatus Pelagibacter sp. IMCC9063	pel
1002809	Solibacillus silvestris StLB046	siv
10029	Cricetulus griseus	cge
10036	Mesocricetus auratus	maua
10047	Meriones unguiculatus	mun
1005962	Ogataea parapolymorpha	opa
1006576	Defluviitoga tunisiensis	dtn
1007105	Pusillimonas sp. T7-7	put
1008459	Taylorella asinigenitalis MCE3	tas
10089	Mus caroli	mcal
10090	Mus musculus	mmu
100901	Wolbachia endosymbiont of Onchocerca ochengi	woo
10093	Mus pahari	mpah
1010	Sphingobacterium mizutaii	smiz
101028	Fusarium pseudograminearum	fpu
10116	Rattus norvegicus	rno
101162	Bipolaris oryzae	bor
10141	Cavia porcellus	cpoc
101571	Burkholderia ubonensis	bub
10181	Heterocephalus glaber	hgl
101852	Glarea lozoyensis	glz
102107	Prunus mume	pmum
10224	Saccoglossus kowalevskii	sko
10228	Trichoplax adhaerens	tad
102684	Streptococcus infantarius	sif
1026970	Nannospalax galili	ngi
1028416	Psychrobacter sp. DAB_AL43B	psyc
1028989	Pseudomonas sp. StFLB209	pses
1029718	Candidatus Arthromitus sp. SFB-mouse-Japan	asf
1030157	Sphingomonas sp. KC8	spkc
1031711	Ralstonia solanacearum Po82	rsn
103372	Acromyrmex echinatior	aec
1033991	Rhizobium leguminosarum bv. trifolii CB782	rlu
1034809	Staphylococcus lugdunensis N920143	sln
103690	Nostoc sp. PCC 7120	ana
103695	Pogona vitticeps	pvt
103733	Saccharothrix syringae	ssyi
1037409	Bradyrhizobium japonicum USDA 6	bju
103855	Bordetella hinzii	bhz
1038856	Planococcus plakortidis	ppla
104087	Pseudomonas frederiksbergensis	pfk
104102	Acetobacter tropicalis	ato
1041504	Candidatus Arthromitus sp. SFB-rat-Yit	asb
1042156	Clostridium sp. SY8519	cls
104268	Tenacibaculum mesophilum	tmp
1042876	Pseudomonas putida S16	ppt
1042877	Thermococcus sp. 4557	the
104336	Microbacterium foliorum	mfol
104355	Gloeophyllum trabeum	gtr
104421	Camponotus floridanus	cfo
104623	Serratia sp. ATCC 39006	sera
104628	Helicobacter suis	hsh
1046629	Streptococcus salivarius 57.I	stf
104663	Chitinophaga filiformis	cfil
1047171	Zymoseptoria tritici	ztr
1048260	Leptospirillum ferriphilum ML-04	lfi
1048834	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	aad
1050174	Corynebacterium epidermidicanis	cei
105023	Nothobranchius furzeri	nfu
1051072	Streptococcus equi subsp. zooepidemicus ATCC 35246	sezo
1051613	Verticillium alfalfae	val
1051632	Sulfobacillus acidophilus TPY	say
1051973	Rhodococcus fascians D188	rfa
105219	Ralstonia mannitolilytica	rmn
